director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Rumi Jaffrey,Govinda,Fardeen Khan,Tusshar Kapoor,Drama,life partner,Rumi Jaffrey Govinda Fardeen Khan Tusshar Kapoor Drama life partner
Vishal Pandya,Aashish Chaudhary,Akshay Kapoor Nausheen Ali Sardar,abc,Drama,"three: love, lies, betrayal","Vishal Pandya Aashish Chaudhary Akshay Kapoor Nausheen Ali Sardar abc Drama three: love, lies, betrayal"
K. Murli Manohar Rao,Suniel Shetty,Aftab Shivdasani,Aarti Chabria,Comedy,daddy cool,K. Murli Manohar Rao Suniel Shetty Aftab Shivdasani Aarti Chabria Comedy daddy cool
Puneet Sira,Jackie Shroff,Sohail Khan,Arbaaz Khan,Drama,kisaan,Puneet Sira Jackie Shroff Sohail Khan Arbaaz Khan Drama kisaan
Srinivas Bhashyam,Randeep Hooda,Rituparna Sengupta,Divya Dutta,abc,love khichdi,Srinivas Bhashyam Randeep Hooda Rituparna Sengupta Divya Dutta abc love khichdi
Shashanka Ghosh,Rajendra Prasad,Sandhya Mridul,Nassar,abc,quick gun murugun,Shashanka Ghosh Rajendra Prasad Sandhya Mridul Nassar abc quick gun murugun
Ramesh Khatkar,Prashant Raj Sachdev,Ashmit Patel,Rannvijay Singh,Comedy Romance,toss,Ramesh Khatkar Prashant Raj Sachdev Ashmit Patel Rannvijay Singh Comedy Romance toss
N. Chandra,Anupam Kher,Perizaad Zorabian,Purab Kohli,Drama,yeh mera india,N. Chandra Anupam Kher Perizaad Zorabian Purab Kohli Drama yeh mera india
Indrajit Nattoji,Shreyas Talpade,Shiv Panditt,Mahi Gill,Comedy,aagey se right,Indrajit Nattoji Shreyas Talpade Shiv Panditt Mahi Gill Comedy aagey se right
Ranjit Kapoor,Rishi Kapoor,Priyanshu Chatterjee,Kulraj Randhawa,Comedy,chintu ji,Ranjit Kapoor Rishi Kapoor Priyanshu Chatterjee Kulraj Randhawa Comedy chintu ji
Deepak Tijori,Arjun Rampal,Sagarika Ghatge,Udita Goswami,Adventure Animation Comedy Family,fox,Deepak Tijori Arjun Rampal Sagarika Ghatge Udita Goswami Adventure Animation Comedy Family fox
Rupali Guha,Jiya Sarang,Pari Sehgal,Rakhi Chadda,Drama,aamras,Rupali Guha Jiya Sarang Pari Sehgal Rakhi Chadda Drama aamras
Ashu Trikha,Soham Deepak,Mithun Chakraborty,Urvashi Sharma,Action Drama Crime,baabarr,Ashu Trikha Soham Deepak Mithun Chakraborty Urvashi Sharma Action Drama Crime baabarr
Pradeep Guha,Mithun Chakraborty,Dimple Kapadia,Gulshan Grover,abc,phir kabhi,Pradeep Guha Mithun Chakraborty Dimple Kapadia Gulshan Grover abc phir kabhi
Samir Karnik,Bobby Deol,Kangana Ranaut,Dwij Yadav,Drama Romance,vaada raha,Samir Karnik Bobby Deol Kangana Ranaut Dwij Yadav Drama Romance vaada raha
Anurag Singh,Rani Mukherjee,Shahid Kapoor,Anupam Kher,Drama Comedy Romance,dil bole hadippa!,Anurag Singh Rani Mukherjee Shahid Kapoor Anupam Kher Drama Comedy Romance dil bole hadippa!
Prabhu Deva,Salman Khan,Ayesha Takia,Prakash Raj,Action Thriller Crime,wanted,Prabhu Deva Salman Khan Ayesha Takia Prakash Raj Action Thriller Crime wanted
Rajesh Ganguly,Rajat Kapoor,Shishir Sharma,Aham Sharma,Mystery,blue oranges,Rajesh Ganguly Rajat Kapoor Shishir Sharma Aham Sharma Mystery blue oranges
V. K. Prakash,Mithun Chakraborty,Dimple Kapadia,Rati Agnihotri,abc,phir kabhi,V. K. Prakash Mithun Chakraborty Dimple Kapadia Rati Agnihotri abc phir kabhi
Ashutosh Gowarikar,Harman Baweja,Priyanka Chopra,abc,Comedy,what's your raashee?,Ashutosh Gowarikar Harman Baweja Priyanka Chopra abc Comedy what's your raashee?
David Dhawan,Govinda,Riteish Deshmukh,Lara Dutta,Comedy Romance,do knot disturb,David Dhawan Govinda Riteish Deshmukh Lara Dutta Comedy Romance do knot disturb
Ayan Mukerji,Ranbir Kapoor,Konkona Sen Sharma,Rahul Khanna,Romance Drama Comedy,wake up sid,Ayan Mukerji Ranbir Kapoor Konkona Sen Sharma Rahul Khanna Romance Drama Comedy wake up sid
Suparn Verma,Dia Mirza,Fardeen Khan,Irrfan Khan,Action Crime Thriller,acid factory,Suparn Verma Dia Mirza Fardeen Khan Irrfan Khan Action Crime Thriller acid factory
Rohit Shetty,Sanjay Dutt,Ajay Devgn,Fardeen Khan,Action Comedy Music,all the best: fun begins,Rohit Shetty Sanjay Dutt Ajay Devgn Fardeen Khan Action Comedy Music all the best: fun begins
Anthony D'souza,Akshay Kumar,Sanjay Dutt,Lara Dutta,Drama Romance,blue,Anthony D'souza Akshay Kumar Sanjay Dutt Lara Dutta Drama Romance blue
Prem Soni,Salman Khan,Kareena Kapoor,Sohail Khan,Drama,main aurr mrs khanna,Prem Soni Salman Khan Kareena Kapoor Sohail Khan Drama main aurr mrs khanna
Kunal Vijaykar,Boman Irani,Cyrus Broacha,Mahesh Manjrekar,Comedy Romance,fruit and nut,Kunal Vijaykar Boman Irani Cyrus Broacha Mahesh Manjrekar Comedy Romance fruit and nut
A F Inam & Rajan Wagdhare,Nauheed Cyrusi,Sameer Dattani,abc,Drama Comedy Romance,love ka tadka,A F Inam & Rajan Wagdhare Nauheed Cyrusi Sameer Dattani abc Drama Comedy Romance love ka tadka
Vipul Shah,Salman Khan,Ajay Devgn,Asin Thottumkal,Drama,london dreams,Vipul Shah Salman Khan Ajay Devgn Asin Thottumkal Drama london dreams
Sujoy Ghosh,Amitabh Bachchan,Sanjay Dutt,Jacqueline Fernandez,Fantasy Drama Romance Adventure Comedy,aladin,Sujoy Ghosh Amitabh Bachchan Sanjay Dutt Jacqueline Fernandez Fantasy Drama Romance Adventure Comedy aladin
Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Upen Patel,Romance Comedy Action,ajab prem ki ghazab kahani,Rajkumar Santoshi Ranbir Kapoor Katrina Kaif Upen Patel Romance Comedy Action ajab prem ki ghazab kahani
Madhur Bhandarkar,Neil Nitin Mukesh,Mugdha Godse,abc,Comedy Crime Drama,jail,Madhur Bhandarkar Neil Nitin Mukesh Mugdha Godse abc Comedy Crime Drama jail
Kunal Deshmukh,Emraan Hashmi,Soha Ali Khan,abc,Drama,tum mile,Kunal Deshmukh Emraan Hashmi Soha Ali Khan abc Drama tum mile
Glenn Baretto,Aftab Shivdasani,Aamna Shariff,Johnny Lever,Fantasy Drama Comedy Romance,aao wish karein,Glenn Baretto Aftab Shivdasani Aamna Shariff Johnny Lever Fantasy Drama Comedy Romance aao wish karein
Rensil D'Silva,Saif Ali Khan,Kareena Kapoor,Vivek Oberoi,Crime Drama Romance Thriller Action,kurbaan,Rensil D'Silva Saif Ali Khan Kareena Kapoor Vivek Oberoi Crime Drama Romance Thriller Action kurbaan
Shankar Mondal,Hitesh Agrawal,Mansi Dovhal,Sudesh Berry,abc,shaabash! you can do it,Shankar Mondal Hitesh Agrawal Mansi Dovhal Sudesh Berry abc shaabash! you can do it
Devang Dholkia,Jimmy Sheirgill,Kim Sharma,Hrishita Bhatt,Crime Drama Mystery,marega salaa,Devang Dholkia Jimmy Sheirgill Kim Sharma Hrishita Bhatt Crime Drama Mystery marega salaa
Priyadarshan,Akshay Kumar,Katrina Kaif,Sunil Shetty,Action Comedy,de dana dan,Priyadarshan Akshay Kumar Katrina Kaif Sunil Shetty Action Comedy de dana dan
Vinil Matthew,Ranveer Singh,Parineeti Chopra,abc,Drama Action Thriller,49,Vinil Matthew Ranveer Singh Parineeti Chopra abc Drama Action Thriller 49
Ishaan Trivedi,Himesh Reshammiya,Shenaz Treasurywala,Sonal Sehgal,Drama,radio,Ishaan Trivedi Himesh Reshammiya Shenaz Treasurywala Sonal Sehgal Drama radio
R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan,Drama Family,paa,R. Balki Amitabh Bachchan Abhishek Bachchan Vidya Balan Drama Family paa
Shimit Amin,Ranbir Kapoor,Gauahar Khan,Shazahn Padamsee,Drama Comedy Romance,rocket singh: salesman of the year,Shimit Amin Ranbir Kapoor Gauahar Khan Shazahn Padamsee Drama Comedy Romance rocket singh: salesman of the year
Saurabh Shukla,Rajat Kapoor,Vinay Pathak,Neha Dhupia,Drama Comedy Romance,"raat gayi, baat gayi?","Saurabh Shukla Rajat Kapoor Vinay Pathak Neha Dhupia Drama Comedy Romance raat gayi, baat gayi?"
Rajkumar Hirani,Aamir Khan,Kareena Kapoor,Sharman Joshi,Drama Comedy,3 idiots,Rajkumar Hirani Aamir Khan Kareena Kapoor Sharman Joshi Drama Comedy 3 idiots
Mahesh Nair,Celina Jaitly,Farooq Sheikh,abc,Thriller,accident on hill road,Mahesh Nair Celina Jaitly Farooq Sheikh abc Thriller accident on hill road
Milind Ukey,Siddharth Chandekar,Mrunmayi Deshpande,abc,abc,humne jeena seekh liya,Milind Ukey Siddharth Chandekar Mrunmayi Deshpande abc abc humne jeena seekh liya
S. Chandrakaant,Rajpal Yadav,Neha Dhupia,Aashish Chaudhary,abc,rama rama kya hai dramaa?,S. Chandrakaant Rajpal Yadav Neha Dhupia Aashish Chaudhary abc rama rama kya hai dramaa?
Rajkumar Santoshi,Ajay Devgn,Vidya Balan,Pankaj Kapur,Drama,halla bol,Rajkumar Santoshi Ajay Devgn Vidya Balan Pankaj Kapur Drama halla bol
Nagesh Kukunoor,Shreyas Talpade,Lena Christensen,abc,Comedy Romance Drama,bombay to bangkok,Nagesh Kukunoor Shreyas Talpade Lena Christensen abc Comedy Romance Drama bombay to bangkok
Ajay Kumar,Irrfan Khan,Manisha Koirala,Arzoo Govitrikar,Drama,tulsi,Ajay Kumar Irrfan Khan Manisha Koirala Arzoo Govitrikar Drama tulsi
Rohit Shetty,Ajay Devgn,Ayesha Takia,Arshad Warsi,TV Movie Romance Drama,sunday,Rohit Shetty Ajay Devgn Ayesha Takia Arshad Warsi TV Movie Romance Drama sunday
Rohit Jugraj,Kunal Khemu,Tulip Joshi,Aushima Sawhney,Comedy Family,superstar,Rohit Jugraj Kunal Khemu Tulip Joshi Aushima Sawhney Comedy Family superstar
Ashutosh Gowariker,Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,Adventure Romance History,jodhaa akbar,Ashutosh Gowariker Hrithik Roshan Aishwarya Rai Bachchan Sonu Sood Adventure Romance History jodhaa akbar
Subhash Ghai,Anil Kapoor,Anurag Sinha,Shefali Chhaya,Drama,black & white,Subhash Ghai Anil Kapoor Anurag Sinha Shefali Chhaya Drama black & white
Abbas Mustan,Saif Ali Khan,Akshaye Khanna,Katrina Kaif,Action Thriller Science Fiction,race,Abbas Mustan Saif Ali Khan Akshaye Khanna Katrina Kaif Action Thriller Science Fiction race
Ashwani Dheer,Tusshar Kapoor,Paresh Rawal,Suniel Shetty,Comedy Family,one two three,Ashwani Dheer Tusshar Kapoor Paresh Rawal Suniel Shetty Comedy Family one two three
Samar Khan,Rahul Bose,Minissha Lamba,Javed Jaffrey,Drama Thriller,shaurya,Samar Khan Rahul Bose Minissha Lamba Javed Jaffrey Drama Thriller shaurya
Jaideep Sen,Juhi Chawla,Arshad Warsi,Irrfan Khan,Comedy Crime Drama,krazzy 4,Jaideep Sen Juhi Chawla Arshad Warsi Irrfan Khan Comedy Crime Drama krazzy 4
Ajay Devgn,Ajay Devgn,Kajol,Karan Khanna,Comedy Drama Romance,u me aur hum,Ajay Devgn Ajay Devgn Kajol Karan Khanna Comedy Drama Romance u me aur hum
Arshad Khan,Arbaaz Ali Khan,Vikas Anand,Rahul,Romance,pehli nazar ka pyaar,Arshad Khan Arbaaz Ali Khan Vikas Anand Rahul Romance pehli nazar ka pyaar
Rajaatesh Nayar,Kay Kay Menon,Manisha Koirala,Ranvir Shorey,Drama Romance,sirf,Rajaatesh Nayar Kay Kay Menon Manisha Koirala Ranvir Shorey Drama Romance sirf
Vijay Krishna Acharya,Anil Kapoor,Akshay Kumar,Saif Ali Khan,Action Drama Romance,tashan,Vijay Krishna Acharya Anil Kapoor Akshay Kumar Saif Ali Khan Action Drama Romance tashan
Deepak Shivdasani,Sunil Shetty,Arshad Warsi,abc,Comedy,mr. black mr. white,Deepak Shivdasani Sunil Shetty Arshad Warsi abc Comedy mr. black mr. white
Anant Mahadevan,Dino Morea,Minissha Lamba,Koena Mitra,Drama Mystery Romance,anamika,Anant Mahadevan Dino Morea Minissha Lamba Koena Mitra Drama Mystery Romance anamika
Raj N. Sippy,Mimoh Chakraborty,Rati Agnihotri,Vikas Anand,Drama,jimmy,Raj N. Sippy Mimoh Chakraborty Rati Agnihotri Vikas Anand Drama jimmy
Vivek Sharma,Amitabh Bachchan,Juhi Chawla,Shahrukh Khan,Family Comedy,bhoothnath,Vivek Sharma Amitabh Bachchan Juhi Chawla Shahrukh Khan Family Comedy bhoothnath
Kunal Deshmukh,Emraan Hashmi,Sonal Chauhan,Sameer Kochhar,Documentary,jannat,Kunal Deshmukh Emraan Hashmi Sonal Chauhan Sameer Kochhar Documentary jannat
Ashim Samanta,Hrishita Bhatt,Mithun Chakraborty,Shakti Kapoor,Comedy Drama,don muthu swami,Ashim Samanta Hrishita Bhatt Mithun Chakraborty Shakti Kapoor Comedy Drama don muthu swami
Hansal Mehta,Sikandar Kher,Neha Oberoi Arbaaz Khan,Shakti Kapoor,Mystery Thriller,woodstock villa,Hansal Mehta Sikandar Kher Neha Oberoi Arbaaz Khan Shakti Kapoor Mystery Thriller woodstock villa
Rajkumar Gupta,Rajeev Khandelwal,abc,abc,Thriller,aamir,Rajkumar Gupta Rajeev Khandelwal abc abc Thriller aamir
Ram Gopal Verma,Amitabh Bachchan,Abhishek Bachchan,Aishwarya Rai Bachchan,Action Adventure Crime Drama,sarkar raj,Ram Gopal Verma Amitabh Bachchan Abhishek Bachchan Aishwarya Rai Bachchan Action Adventure Crime Drama sarkar raj
Priyadarshan,Akshaye Khanna,Paresh Rawal,Genelia D'Souza,Drama Romance,mere baap pehle aap,Priyadarshan Akshaye Khanna Paresh Rawal Genelia D'Souza Drama Romance mere baap pehle aap
Suhail Tatari,Sikandar Kher,Gul Panag,Neetu Chandra,abc,summer 2007,Suhail Tatari Sikandar Kher Gul Panag Neetu Chandra abc summer 2007
E. Nivas,Riteish Deshmukh,Aftab Shivdasani,Ayesha Takia,Drama Romance,de taali,E. Nivas Riteish Deshmukh Aftab Shivdasani Ayesha Takia Drama Romance de taali
